sample_id,split,modality,start_index,end_index,impact_score,is_top_k
19,attachment4,vision,7,13,0.03202075511217117,False
19,attachment4,vision,14,20,0.03323840722441673,True
19,attachment4,vision,21,27,0.026974186301231384,False
19,attachment4,vision,28,34,0.01142869982868433,False
19,attachment4,vision,35,41,0.029433880001306534,False
19,attachment4,vision,42,48,0.0589853897690773,True
19,attachment4,vision,49,49,0.007768557872623205,False
20,attachment4,text,0,6,0.05910291522741318,True
20,attachment4,text,7,13,0.004142932593822479,False
20,attachment4,text,14,20,0.010608300566673279,False
20,attachment4,text,21,27,0.02576085366308689,False
20,attachment4,text,28,34,0.048581864684820175,True
20,attachment4,text,35,41,0.010288983583450317,False
20,attachment4,text,42,48,0.11420644819736481,True
20,attachment4,text,49,49,0.0206525307148695,False
20,attachment4,audio,0,6,0.018807604908943176,True
20,attachment4,audio,7,13,0.01730511151254177,False
20,attachment4,audio,14,20,0.006082083098590374,False
20,attachment4,audio,21,27,0.029959000647068024,True
20,attachment4,audio,28,34,0.00529027683660388,False
20,attachment4,audio,35,41,0.03466763347387314,True
20,attachment4,audio,42,48,0.008627224713563919,False
20,attachment4,audio,49,49,0.0033328819554299116,False
20,attachment4,vision,0,6,0.022378209978342056,True
20,attachment4,vision,7,13,0.009173261001706123,False
20,attachment4,vision,14,20,0.0004540197551250458,False
20,attachment4,vision,21,27,0.01709386147558689,False
20,attachment4,vision,28,34,0.054375745356082916,True
20,attachment4,vision,35,41,0.04907131567597389,False
20,attachment4,vision,42,48,0.01004170160740614,True
20,attachment4,vision,49,49,0.0032519325613975525,False
